Date,Time of Day,Channel,Revenue,Average Order Size,Conversions,Customer Type,Sales Rep,Business
2023-06-03,Night,Google Ads,434.39,200.46,8,Returning,Rebecca Beard,Heritage Bakes
2023-05-16,Night,Referral,209.28,76.56,3,Returning,Carrie Rodriguez,Heritage Bakes
2023-01-27,Morning,Walk-in,400.96,367.96,4,New,Jordan Tanner,Heritage Bakes
2023-04-20,Night,Google Ads,181.43,36.38,2,Returning,Denise Johnson,Heritage Bakes
2023-03-01,Evening,Referral,59.94,13.81,0,New,Amy Holt,Heritage Bakes
2023-10-27,Night,Google Ads,276.16,218.81,3,New,James Bennett,Heritage Bakes
2023-06-26,Evening,Instagram,104.12,51.04,1,Returning,Jeffrey Owens,Heritage Bakes
2023-07-07,Night,Email,354.71,128.72,8,New,Adam Merritt,Heritage Bakes
2023-12-22,Night,Instagram,243.32,84.07,4,Returning,Tina Walter,Heritage Bakes
2023-10-18,Evening,Instagram,330.02,76.28,13,Returning,Michelle Harris,Heritage Bakes
2023-05-28,Afternoon,Instagram,273.95,80.65,5,New,Michael Richmond,Heritage Bakes
2023-03-02,Night,Google Ads,450.08,220.78,5,Returning,Michael Patrick,Heritage Bakes
2023-10-10,Afternoon,Email,425.32,198.21,4,Returning,Amanda Hart DVM,Heritage Bakes
2023-12-20,Afternoon,Facebook,324.96,66.76,3,New,Michele Conner,Heritage Bakes
2023-12-31,Morning,Facebook,176.6,52.18,4,New,Natalie Mitchell,Heritage Bakes
2023-11-15,Evening,Google Ads,357.96,76.01,4,New,Jacob Hoover,Heritage Bakes
2023-04-07,Afternoon,Walk-in,297.09,65.78,11,Returning,Jacqueline Winters,Heritage Bakes
2023-07-26,Night,Facebook,172.9,34.79,2,Returning,Kimberly Flores,Heritage Bakes
2023-10-06,Afternoon,Email,391.4,173.64,4,New,Jennifer Carpenter,Heritage Bakes
2023-03-25,Night,Email,281.63,149.08,3,New,William Saunders,Heritage Bakes
2023-07-25,Afternoon,Email,317.03,67.91,4,Returning,Michael Preston,Heritage Bakes
2023-02-23,Night,Google Ads,327.06,268.91,4,New,Jennifer Ali,Heritage Bakes
2023-04-08,Afternoon,Walk-in,58.2,52.92,5,New,David Taylor,Heritage Bakes
2023-10-15,Night,Email,445.9,133.78,5,New,Maria Hayes,Heritage Bakes
2023-10-02,Night,Facebook,392.55,180.52,22,Returning,Melanie Preston,Heritage Bakes
2023-08-23,Afternoon,Email,22.44,18.45,1,Returning,Thomas Mcgrath,Heritage Bakes
2023-09-11,Morning,Google Ads,343.37,85.33,4,Returning,Glenn Chen,Heritage Bakes
2023-08-07,Morning,Google Ads,97.44,88.72,5,New,Sarah Berry,Heritage Bakes
2023-07-12,Afternoon,Walk-in,14.4,9.06,0,Returning,Rebecca Summers,Heritage Bakes
2023-07-03,Evening,Instagram,266.29,149.83,7,Returning,Rodney Gilmore,Heritage Bakes
2023-07-22,Afternoon,Instagram,268.86,263.43,2,New,Kimberly Stone DDS,Heritage Bakes
2023-11-15,Evening,Google Ads,374.96,186.6,3,New,Joshua Dunlap,Heritage Bakes
2023-12-07,Morning,Facebook,403.73,88.61,4,New,Melinda French,Heritage Bakes
2023-04-14,Evening,Google Ads,48.57,29.55,1,Returning,Gabriel Copeland MD,Heritage Bakes
2023-04-22,Evening,Walk-in,366.01,91.65,22,Returning,Kelly Weiss,Heritage Bakes
2023-11-21,Afternoon,Email,132.75,46.39,1,New,Gregory Russell,Heritage Bakes
2023-02-08,Evening,Walk-in,63.5,45.34,2,Returning,Ashley Bowman,Heritage Bakes
2023-04-05,Morning,Referral,250.26,54.78,13,Returning,Ruben Woodard,Heritage Bakes
2023-12-05,Evening,Google Ads,42.35,11.04,3,Returning,Aaron Leon,Heritage Bakes
2023-01-22,Afternoon,Email,326.32,309.99,6,New,Ashley Thomas,Heritage Bakes
2023-08-24,Morning,Walk-in,182.1,37.61,1,Returning,Travis Allen,Heritage Bakes
2023-05-30,Night,Referral,273.63,253.41,4,Returning,Roger Weaver,Heritage Bakes
2023-02-19,Night,Google Ads,263.25,118.18,2,Returning,Robert Johnson,Heritage Bakes
2023-01-08,Afternoon,Walk-in,262.77,57.17,7,New,Bryan Lopez,Heritage Bakes
2023-12-13,Afternoon,Email,204.13,73.44,5,New,Andrea King,Heritage Bakes
2023-10-26,Afternoon,Instagram,114.21,32.99,1,Returning,Jennifer Howard,Heritage Bakes
2023-11-27,Morning,Instagram,359.16,182.05,7,New,Michael Evans,Heritage Bakes
2023-01-28,Night,Email,248.29,77.73,6,Returning,Daniel Patterson,Heritage Bakes
2023-09-20,Night,Email,242.17,95.59,2,New,Karen Mendez,Heritage Bakes
2023-06-28,Morning,Referral,308.32,76.73,4,Returning,John Johnson,Heritage Bakes
2023-01-05,Morning,Walk-in,493.68,394.12,18,Returning,Andre Haynes,Heritage Bakes
2023-11-22,Night,Email,139.28,84.96,8,Returning,Janet Ryan,Heritage Bakes
2023-05-07,Night,Facebook,345.48,138.13,3,Returning,Michael Oliver,Heritage Bakes
2023-08-27,Morning,Referral,59.17,23.21,0,Returning,Wesley Henry,Heritage Bakes
2023-12-24,Morning,Instagram,63.37,13.74,3,New,Andrew Freeman,Heritage Bakes
2023-03-04,Morning,Google Ads,296.41,74.12,3,New,Karen Stephens,Heritage Bakes
2023-02-01,Morning,Walk-in,97.08,89.14,1,New,Nathaniel Baldwin,Heritage Bakes
2023-08-04,Evening,Walk-in,273.58,69.33,20,New,Jordan Curry,Heritage Bakes
2023-03-10,Evening,Email,375.06,222.42,5,New,William Johnson,Heritage Bakes
2023-06-02,Night,Referral,464.69,159.71,6,New,Richard Bond,Heritage Bakes
2023-06-07,Night,Walk-in,178.83,56.27,7,New,Jason Smith,Heritage Bakes
2023-02-10,Night,Instagram,282.38,257.52,3,New,Scott Norman,Heritage Bakes
2023-12-09,Afternoon,Referral,159.24,41.41,3,New,Jill Shaw,Heritage Bakes
2023-08-17,Night,Referral,34.22,15.71,0,Returning,Michael Price,Heritage Bakes
2023-02-25,Evening,Instagram,339.85,83.19,4,Returning,Martha Williams,Heritage Bakes
2023-11-02,Morning,Email,235.25,72.73,3,New,Melissa Henry,Heritage Bakes
2023-06-07,Evening,Email,320.13,294.81,4,Returning,Elaine Martin,Heritage Bakes
2023-04-19,Morning,Google Ads,296,113.6,5,New,Gary Rodriguez,Heritage Bakes
2023-10-08,Afternoon,Instagram,32.62,16.68,0,Returning,Ryan Gonzalez,Heritage Bakes
2023-02-15,Afternoon,Google Ads,137.55,79.33,1,Returning,Mr. Reginald Roman,Heritage Bakes
2023-10-23,Night,Facebook,62.01,16.52,0,Returning,Patricia Williams,Heritage Bakes
2023-11-27,Evening,Google Ads,230.23,69.69,2,New,Gerald Vega,Heritage Bakes
2023-07-12,Evening,Google Ads,123.34,26.81,1,Returning,Crystal Wallace,Heritage Bakes
2023-01-18,Evening,Email,440.99,119.48,14,New,Susan Garcia,Heritage Bakes
2023-11-02,Night,Walk-in,242.91,108.82,7,New,Patrick Potts,Heritage Bakes
2023-08-22,Afternoon,Walk-in,178.68,70.64,5,New,Jessica Richardson,Heritage Bakes
2023-03-09,Evening,Email,341.09,134.99,15,Returning,Alicia Warren,Heritage Bakes
2023-11-05,Morning,Google Ads,286.5,205.67,3,Returning,Madison Rodriguez,Heritage Bakes
2023-05-27,Evening,Email,259.13,180.22,2,New,Douglas Grant,Heritage Bakes
2023-01-26,Night,Email,147.05,42.64,1,New,Austin Baker,Heritage Bakes
2023-05-29,Night,Instagram,197.88,55.85,3,Returning,Heather Morales,Heritage Bakes
2023-06-29,Night,Instagram,422.32,389.74,5,Returning,Susan Hutchinson,Heritage Bakes
2023-01-12,Night,Email,316.89,87.44,8,New,Christopher Hudson,Heritage Bakes
2023-01-06,Afternoon,Walk-in,426.29,128.79,5,New,Jill Barajas,Heritage Bakes
2023-05-12,Evening,Google Ads,89.37,20.47,1,New,Dennis Jones,Heritage Bakes
2023-10-30,Afternoon,Facebook,114.74,40.39,1,New,Charlene Gutierrez,Heritage Bakes
2023-10-20,Evening,Google Ads,397.48,98.97,8,Returning,Crystal Hernandez,Heritage Bakes
2023-09-24,Night,Instagram,181.68,115.87,2,New,Michael Smith,Heritage Bakes
2023-03-05,Night,Facebook,314.58,82.51,15,New,Richard Rodriguez,Heritage Bakes
2023-08-27,Night,Email,173.91,60.43,3,Returning,Lauren Smith,Heritage Bakes
2023-03-13,Afternoon,Facebook,23.8,6.75,0,New,Breanna Mccall,Heritage Bakes
2023-06-15,Afternoon,Walk-in,225.38,107.15,15,Returning,Rebecca Lopez,Heritage Bakes
2023-03-02,Night,Instagram,316.6,238.47,4,New,John Garcia,Heritage Bakes
2023-12-31,Evening,Email,287.77,126.08,4,Returning,Mark Weaver,Heritage Bakes
2023-08-12,Evening,Facebook,22.06,4.46,0,Returning,Brianna Martinez,Heritage Bakes
2023-04-20,Evening,Referral,179.6,38.73,14,New,Shannon Jones,Heritage Bakes
2023-02-15,Evening,Instagram,206.83,86.15,2,Returning,Victoria Knight,Heritage Bakes
2023-12-18,Evening,Referral,481.43,297.39,6,Returning,Paul Franco,Heritage Bakes
2023-01-10,Morning,Email,283.92,65.11,4,New,Darin Baker,Heritage Bakes
2023-06-29,Evening,Google Ads,114.27,28.07,1,Returning,Jeffrey Harrell,Heritage Bakes
2023-04-27,Morning,Facebook,105.42,36.76,1,New,Alyssa Powers,Heritage Bakes
2023-03-31,Night,Google Ads,35.71,11.79,1,Returning,Jeanette Obrien,Heritage Bakes
2023-08-23,Afternoon,Facebook,286.3,104.33,3,New,Nicole Anderson,Heritage Bakes
2023-01-10,Night,Referral,138.67,27.82,2,Returning,Rachel Oneal,Heritage Bakes
2023-04-02,Morning,Google Ads,305.55,255.87,3,New,Nicole Moore,Heritage Bakes
2023-11-03,Evening,Walk-in,136.09,66.7,1,Returning,Donna Mejia,Heritage Bakes
2023-04-25,Afternoon,Google Ads,395.52,230.69,6,New,Andre Jones,Heritage Bakes
2023-08-10,Afternoon,Email,190.05,116.59,2,Returning,Steven Thomas,Heritage Bakes
2023-02-05,Afternoon,Referral,293.97,76.86,7,Returning,Jaclyn Long,Heritage Bakes
2023-09-11,Night,Walk-in,31.04,9.31,0,New,Robert Stark,Heritage Bakes
2023-07-05,Afternoon,Instagram,60.12,12.66,3,New,Joseph Murphy,Heritage Bakes
2023-11-02,Night,Referral,300.62,75.78,3,Returning,Travis Dixon,Heritage Bakes
2023-02-13,Afternoon,Google Ads,45.74,18.35,4,New,Seth Barker,Heritage Bakes
2023-04-25,Afternoon,Instagram,172.87,34.79,3,New,Tammy Jacobs,Heritage Bakes
2023-06-19,Night,Email,92,42.39,0,Returning,Laura Harrison,Heritage Bakes
2023-06-11,Evening,Google Ads,490.11,313.92,10,Returning,John Peterson,Heritage Bakes
2023-01-21,Morning,Google Ads,417.27,126.89,5,New,Lynn King,Heritage Bakes
2023-08-17,Morning,Facebook,45.72,20.55,1,New,Devon Roberts,Heritage Bakes
2023-04-30,Afternoon,Instagram,258.71,79.83,3,New,Emily Bullock,Heritage Bakes
2023-06-05,Evening,Email,213.18,92.68,3,New,Kylie Bailey,Heritage Bakes
2023-10-29,Evening,Email,290.23,81.69,3,New,Roger Holmes,Heritage Bakes
2023-11-19,Evening,Facebook,194.37,47.56,8,New,Dennis Coleman,Heritage Bakes
2023-05-26,Evening,Instagram,416.63,170.96,19,New,Patricia Zamora,Heritage Bakes
2023-08-23,Morning,Facebook,376.19,158.03,7,New,Randy Phillips,Heritage Bakes
2023-11-10,Morning,Google Ads,320.58,228.57,11,Returning,Heather Daniels,Heritage Bakes
2023-02-09,Evening,Referral,474.32,156.6,13,New,Robert Perkins,Heritage Bakes
2023-06-26,Evening,Facebook,385.79,111.64,3,New,Nathaniel Walter,Heritage Bakes
2023-02-05,Evening,Instagram,328.4,70.97,4,Returning,Christine Tyler,Heritage Bakes
2023-06-04,Afternoon,Google Ads,74.9,20.57,4,New,Catherine Holland,Heritage Bakes
2023-02-07,Afternoon,Email,417.82,306.72,6,New,David Washington III,Heritage Bakes
2023-07-01,Afternoon,Email,214.94,48.28,4,Returning,Kimberly Thomas,Heritage Bakes
2023-04-24,Morning,Walk-in,387.31,254.7,13,Returning,Dawn Levy,Heritage Bakes
2023-12-11,Evening,Email,303.76,77.15,3,Returning,Victoria Smith,Heritage Bakes
2023-03-12,Morning,Facebook,135.12,31.49,2,Returning,Timothy Reilly,Heritage Bakes
2023-07-17,Night,Instagram,118.18,27.44,1,New,William Silva,Heritage Bakes
2023-01-27,Evening,Walk-in,47.01,10.47,1,New,Keith Gonzalez,Heritage Bakes
2023-05-13,Night,Facebook,152.97,95.71,2,New,Jeffrey Holden,Heritage Bakes
2023-12-04,Evening,Instagram,35.65,11.79,0,New,Karen Hughes,Heritage Bakes
2023-11-03,Morning,Instagram,20.86,5.06,0,Returning,Christopher Ward,Heritage Bakes
2023-11-19,Morning,Referral,336.63,77.01,10,Returning,Amy Boone,Heritage Bakes
2023-01-12,Evening,Google Ads,219.53,91.68,2,Returning,Joshua Adams,Heritage Bakes
2023-09-16,Afternoon,Google Ads,207.62,66.58,2,New,Tammy Mcdaniel,Heritage Bakes
2023-10-18,Afternoon,Instagram,430.87,98.67,5,New,Steven Knight,Heritage Bakes
2023-08-16,Night,Referral,462.97,99.87,39,Returning,George Weber,Heritage Bakes
2023-08-26,Afternoon,Instagram,324.57,69.81,4,Returning,Jeffrey Hall,Heritage Bakes
2023-04-11,Morning,Instagram,496.1,108.14,8,New,Laura Adams,Heritage Bakes
2023-07-03,Morning,Email,19.86,4.22,0,Returning,Sara Hernandez,Heritage Bakes
2023-11-17,Night,Referral,181.72,146.92,2,Returning,Emily Robinson,Heritage Bakes
2023-09-28,Afternoon,Email,173.9,35.45,16,Returning,Samantha Harris,Heritage Bakes
2023-08-01,Afternoon,Google Ads,219.96,47.16,3,New,Tiffany Davis,Heritage Bakes
2023-08-18,Evening,Facebook,58.62,11.95,1,New,Veronica Nelson,Heritage Bakes
2023-07-07,Night,Instagram,84.7,56.6,1,Returning,Mr. Ryan Walker,Heritage Bakes
2023-07-27,Night,Walk-in,123.52,74.8,4,New,Christopher Thompson,Heritage Bakes
2023-01-04,Afternoon,Instagram,55.98,11.69,0,New,Brian Allen,Heritage Bakes
2023-03-31,Evening,Instagram,148.41,54.48,2,Returning,Kevin Greene,Heritage Bakes
2023-05-01,Night,Email,173,69.74,1,Returning,Daniel Garcia,Heritage Bakes
2023-05-06,Afternoon,Facebook,192.24,75.13,2,Returning,Micheal Ramos,Heritage Bakes
2023-01-10,Afternoon,Email,243.62,53.91,9,Returning,Janice Gilbert,Heritage Bakes
2023-05-16,Evening,Facebook,419.76,100.39,9,Returning,Joshua Nelson,Heritage Bakes
2023-12-10,Evening,Walk-in,448.66,104.84,13,New,Katherine Clarke,Heritage Bakes
2023-10-17,Afternoon,Instagram,181.11,93.29,1,Returning,Erica Porter,Heritage Bakes
2023-09-26,Night,Email,268.29,56.03,6,New,Sara Obrien,Heritage Bakes
2023-11-08,Morning,Instagram,234.46,198.21,3,New,Michael Burke,Heritage Bakes
2023-09-12,Morning,Walk-in,263.47,97.17,9,Returning,Jamie French,Heritage Bakes
2023-09-16,Afternoon,Walk-in,185.77,37.81,3,New,Ernest Sullivan,Heritage Bakes
2023-08-05,Afternoon,Email,399.31,171.8,7,New,Earl Hall,Heritage Bakes
2023-06-09,Night,Referral,25.67,5.84,1,Returning,Julie Johnson,Heritage Bakes
2023-02-19,Afternoon,Walk-in,291.67,84.74,3,Returning,Dana Wolfe,Heritage Bakes
2023-04-23,Afternoon,Google Ads,465.23,141.8,19,New,Robert Price,Heritage Bakes
2023-04-21,Evening,Referral,185.79,163.17,11,Returning,James Henry,Heritage Bakes
2023-09-19,Afternoon,Instagram,303.35,68.02,3,Returning,Susan Davis,Heritage Bakes
2023-01-18,Night,Facebook,471.17,162.49,6,Returning,Darryl Richardson,Heritage Bakes
2023-10-25,Night,Google Ads,455.98,115.98,11,Returning,Karen Jackson DVM,Heritage Bakes
2023-05-18,Afternoon,Referral,48.77,19.14,0,Returning,Linda Patrick,Heritage Bakes
2023-02-28,Afternoon,Email,34.68,24.67,0,Returning,Veronica Diaz,Heritage Bakes
2023-06-14,Evening,Google Ads,85.09,25.51,1,Returning,Ann Moon,Heritage Bakes
2023-05-12,Morning,Facebook,481.49,166.27,43,Returning,Michael Williams,Heritage Bakes
2023-04-03,Evening,Referral,255.72,55.2,5,New,Timothy Chavez,Heritage Bakes
2023-07-05,Evening,Walk-in,457.25,167.46,32,Returning,Scott Ramirez,Heritage Bakes
2023-04-22,Afternoon,Instagram,306.04,131.96,4,New,Crystal Collins,Heritage Bakes
2023-07-19,Evening,Google Ads,319.8,231.9,3,New,Crystal Davis,Heritage Bakes
2023-08-02,Morning,Google Ads,89.23,19.56,3,New,Matthew Mueller,Heritage Bakes
2023-05-15,Evening,Facebook,279.73,110.36,4,Returning,Teresa Thompson,Heritage Bakes
2023-02-12,Evening,Walk-in,366.41,321.65,6,Returning,Teresa Jacobson,Heritage Bakes
2023-10-07,Night,Email,499.5,381.6,7,Returning,Robert Gonzalez,Heritage Bakes
2023-09-04,Evening,Email,28.69,13.65,0,New,Andrea Garcia,Heritage Bakes
2023-02-09,Morning,Walk-in,34.28,7.77,0,Returning,Cassandra Martinez,Heritage Bakes
2023-06-13,Night,Referral,250.31,55.64,19,Returning,Philip Cummings,Heritage Bakes
2023-11-18,Morning,Instagram,14.45,5.04,1,New,Timothy Sanchez,Heritage Bakes
2023-09-24,Night,Referral,39.71,34.94,0,Returning,Scott Miranda,Heritage Bakes
2023-01-10,Morning,Google Ads,165.48,117.26,10,Returning,Alicia Wagner,Heritage Bakes
2023-08-22,Morning,Facebook,457.61,138.66,6,Returning,Chad Williams,Heritage Bakes
2023-03-31,Morning,Email,311.09,62.39,4,Returning,Carlos Hensley,Heritage Bakes
2023-07-02,Night,Facebook,206.76,159.51,2,Returning,Laura Ramirez,Heritage Bakes
2023-01-04,Morning,Referral,168.52,65.63,4,New,Christopher Rodriguez,Heritage Bakes
2023-07-26,Evening,Google Ads,168.17,85.48,1,Returning,Mark Webster,Heritage Bakes
2023-10-06,Night,Walk-in,256.55,229.91,3,Returning,James Smith,Heritage Bakes
2023-10-08,Afternoon,Referral,268.92,111.12,16,New,Robert Byrd,Heritage Bakes
2023-04-06,Night,Instagram,171.97,48.78,14,New,Joshua Powell,Heritage Bakes
2023-05-21,Evening,Instagram,464.76,100.48,6,Returning,Tonya Harding,Heritage Bakes
2023-11-22,Evening,Referral,282.5,81.05,5,Returning,Larry Higgins,Heritage Bakes
2023-02-14,Evening,Instagram,279.48,78.43,4,Returning,Nicole Mills,Heritage Bakes
2023-01-07,Afternoon,Walk-in,88.36,31.93,1,Returning,Jonathan Porter,Heritage Bakes
2023-09-01,Morning,Referral,54.65,33.68,1,New,Christine Greene,Heritage Bakes
2023-12-16,Evening,Referral,491.33,130.41,5,New,Edwin Munoz,Heritage Bakes
2023-11-05,Morning,Walk-in,201.27,48.12,7,Returning,James Brooks,Heritage Bakes
2023-12-21,Morning,Instagram,225.28,98.35,6,New,Craig Smith,Heritage Bakes
2023-10-27,Evening,Facebook,88.16,54.15,1,New,Mark Thomas,Heritage Bakes
2023-06-08,Night,Walk-in,168.72,44.91,4,Returning,Rachel Curry,Heritage Bakes
2023-04-09,Afternoon,Email,329.3,207.06,4,Returning,Elizabeth Sanchez,Heritage Bakes
2023-06-13,Afternoon,Referral,446.57,105.6,7,Returning,Darren Gonzales,Heritage Bakes
2023-09-05,Evening,Walk-in,307.31,127.05,9,Returning,Mr. John Khan,Heritage Bakes
2023-02-05,Evening,Referral,272.33,62.55,23,Returning,Jason Williams,Heritage Bakes
2023-08-06,Afternoon,Email,81.85,17.79,1,Returning,Stephanie Livingston,Heritage Bakes
2023-05-10,Night,Walk-in,431.67,415.84,5,New,Anthony Marshall,Heritage Bakes
2023-05-27,Night,Email,225.59,219.6,5,Returning,Matthew Hamilton,Heritage Bakes
2023-10-04,Evening,Facebook,256.53,76.25,9,New,Heather Hunt,Heritage Bakes
2023-02-16,Night,Instagram,270.2,80.77,9,Returning,Timothy Melton,Heritage Bakes
2023-12-09,Night,Email,261.13,109.85,6,New,Harold Lee,Heritage Bakes
2023-01-08,Evening,Instagram,80.77,23.84,1,Returning,Carol Gay,Heritage Bakes
2023-03-15,Morning,Email,259.35,111.25,3,New,Michael Nelson,Heritage Bakes
2023-10-07,Afternoon,Facebook,284.5,58.37,10,New,Daniel Meyer,Heritage Bakes
2023-06-24,Evening,Walk-in,323.27,147.21,28,New,Jamie Lindsey,Heritage Bakes
2023-11-25,Evening,Referral,292.2,78.39,3,New,Marc Mitchell,Heritage Bakes
2023-11-12,Evening,Google Ads,422.75,85.58,5,Returning,Jose Martinez,Heritage Bakes
2023-10-05,Night,Facebook,76.31,28.43,5,New,John Gallagher,Heritage Bakes
2023-04-19,Afternoon,Google Ads,273.33,97.35,5,New,Richard Chandler,Heritage Bakes
2023-06-10,Night,Google Ads,299.77,82.48,3,Returning,Andrea Donaldson,Heritage Bakes
2023-07-29,Evening,Email,403.86,166.94,6,New,Jamie Guerrero,Heritage Bakes
2023-08-10,Evening,Walk-in,361.07,284.12,3,Returning,Nathan Adams,Heritage Bakes
2023-06-25,Night,Walk-in,441.95,118.62,4,Returning,Thomas Davis,Heritage Bakes
2023-08-29,Morning,Referral,289.36,201.3,5,Returning,James Williams,Heritage Bakes
2023-03-28,Evening,Instagram,252.81,79.42,2,New,Troy Lee,Heritage Bakes
2023-11-26,Night,Walk-in,195.74,134.31,6,Returning,Jennifer Mckenzie,Heritage Bakes
2023-02-02,Night,Instagram,67.23,38.01,2,Returning,Joshua Scott,Heritage Bakes
2023-06-12,Evening,Walk-in,152.75,62.5,1,Returning,April Jones,Heritage Bakes
2023-11-13,Night,Referral,462.6,330.11,7,New,Deborah Webb,Heritage Bakes
2023-01-04,Evening,Email,377.28,325.69,3,Returning,John Zavala,Heritage Bakes
2023-02-26,Afternoon,Walk-in,384.82,124.56,27,Returning,Katherine Miller,Heritage Bakes
2023-03-31,Evening,Facebook,48.11,12.05,0,New,Steven Jensen,Heritage Bakes
2023-07-14,Afternoon,Email,380.81,173.19,5,Returning,Sarah Sosa,Heritage Bakes
2023-12-04,Evening,Instagram,172.5,42.64,2,New,Justin Small,Heritage Bakes
2023-05-05,Morning,Instagram,341.28,74.86,6,New,Erin Ortega,Heritage Bakes
2023-01-09,Afternoon,Instagram,486.82,180.75,13,New,Mary Conley,Heritage Bakes
2023-07-25,Night,Email,255.3,134.11,7,New,Melanie Drake,Heritage Bakes
2023-09-04,Night,Google Ads,475.39,100.09,15,Returning,Danielle Briggs,Heritage Bakes
2023-08-11,Afternoon,Walk-in,69,43.36,2,New,Dillon Case,Heritage Bakes
2023-02-24,Night,Google Ads,354.46,85.44,6,New,William Esparza,Heritage Bakes
2023-12-06,Morning,Instagram,25.84,10.08,0,New,Kevin Solis,Heritage Bakes
2023-12-09,Night,Walk-in,65.37,18.59,0,New,Roger Peters,Heritage Bakes
2023-02-27,Afternoon,Walk-in,455.44,418.19,16,New,Colleen Blanchard,Heritage Bakes
2023-03-29,Evening,Walk-in,142.96,67.33,5,New,Christian Garcia,Heritage Bakes
2023-07-05,Night,Referral,20.51,7.88,0,Returning,Heidi Newton,Heritage Bakes
2023-07-05,Morning,Instagram,39.41,8.08,0,Returning,Gary Miller,Heritage Bakes
2023-11-05,Afternoon,Facebook,208.46,50.81,18,Returning,John Hebert,Heritage Bakes
2023-08-26,Evening,Instagram,168.08,92.54,1,Returning,Erik Small,Heritage Bakes
2023-12-29,Afternoon,Email,435.04,252.31,16,New,Robert Moore,Heritage Bakes
2023-12-25,Night,Email,200.23,50.44,7,New,Andre Pace,Heritage Bakes
2023-08-15,Night,Walk-in,472.58,116.8,4,Returning,David Koch,Heritage Bakes
2023-07-30,Evening,Walk-in,307.56,145.75,4,New,Tyler Chapman MD,Heritage Bakes
2023-09-22,Night,Facebook,359.25,110.85,11,Returning,Donna Bishop,Heritage Bakes
2023-01-27,Morning,Email,124.74,89.2,2,New,Christopher Murphy,Heritage Bakes
2023-10-27,Night,Walk-in,299.29,60.73,4,Returning,Bradley Miller,Heritage Bakes
2023-09-30,Evening,Email,420.14,145.08,6,New,Alejandra Fernandez,Heritage Bakes
2023-01-05,Evening,Email,237.33,60.83,6,New,Brandon Cordova PhD,Heritage Bakes
2023-01-08,Morning,Google Ads,467.81,166.06,7,New,Wendy Smith,Heritage Bakes
2023-10-22,Morning,Walk-in,306.86,258.16,3,Returning,Casey Terrell,Heritage Bakes
2023-02-19,Afternoon,Walk-in,223.24,79.74,2,Returning,Michael Serrano,Heritage Bakes
2023-10-07,Evening,Email,162.66,53.17,4,New,Kenneth Williams,Heritage Bakes
2023-05-01,Night,Instagram,444.74,167.28,13,New,Erin Williams,Heritage Bakes
2023-12-02,Night,Walk-in,218.95,46.15,3,Returning,Virginia Mendez,Heritage Bakes
2023-03-06,Evening,Instagram,200.22,152.26,5,New,Cheryl Jackson,Heritage Bakes
2023-10-16,Morning,Google Ads,52.01,12.7,3,New,Wyatt Rodriguez,Heritage Bakes
2023-01-27,Night,Email,170.56,66.99,4,New,Lisa Fox,Heritage Bakes
2023-06-07,Night,Facebook,119.75,49.52,1,New,Diane Brown,Heritage Bakes
2023-09-11,Morning,Walk-in,361.05,271.12,6,New,Debbie Schneider,Heritage Bakes
2023-04-18,Afternoon,Instagram,176.6,67.3,1,New,Anne Obrien,Heritage Bakes
2023-06-09,Night,Google Ads,241.22,53.19,5,New,Amanda Phelps,Heritage Bakes
2023-12-05,Night,Instagram,300.56,285.8,3,New,Melissa Patrick,Heritage Bakes
2023-03-28,Afternoon,Google Ads,64.6,36.55,0,Returning,Jordan Carter,Heritage Bakes
2023-04-03,Morning,Walk-in,157.76,69.45,7,New,Jennifer Roman,Heritage Bakes
2023-07-02,Afternoon,Instagram,45.85,24.78,0,New,William Parker,Heritage Bakes
2023-09-04,Night,Facebook,195.53,41.88,2,New,David Hernandez,Heritage Bakes
2023-09-17,Evening,Google Ads,477.83,142.35,4,New,Bobby Matthews,Heritage Bakes
2023-02-22,Afternoon,Referral,349.99,245.23,9,Returning,Brian Cole,Heritage Bakes
2023-05-11,Morning,Email,205.72,69.53,3,Returning,Benjamin Townsend,Heritage Bakes
2023-04-26,Night,Referral,415.41,152.72,6,Returning,Lauren Higgins,Heritage Bakes
2023-06-21,Night,Email,400.74,132.49,13,New,Bryan Newman,Heritage Bakes
2023-02-17,Morning,Facebook,444.12,99.75,15,New,Kristen Matthews,Heritage Bakes
2023-01-01,Night,Instagram,25.3,7.82,0,Returning,Christine Kennedy,Heritage Bakes
2023-02-13,Afternoon,Google Ads,105.54,23.65,3,New,Christopher Lee,Heritage Bakes
2023-10-31,Evening,Instagram,347.83,164.38,3,Returning,Andre Farrell,Heritage Bakes
2023-06-13,Morning,Facebook,45.07,11.29,0,Returning,Cody Jimenez,Heritage Bakes
2023-01-04,Afternoon,Facebook,124.22,48.64,1,Returning,Jennifer Fletcher,Heritage Bakes
2023-11-30,Morning,Walk-in,467.48,143.26,7,New,Casey Murphy,Heritage Bakes
2023-06-22,Afternoon,Walk-in,348.13,287.9,3,Returning,Jennifer Edwards,Heritage Bakes
2023-03-01,Night,Google Ads,162.66,43.19,3,New,Lacey Graves,Heritage Bakes
2023-02-19,Morning,Referral,305.92,89.39,3,Returning,Richard Best,Heritage Bakes
2023-02-17,Night,Facebook,117.41,34.38,1,Returning,John Mcneil,Heritage Bakes
2023-09-11,Night,Email,351.77,73.01,9,New,Stephen Allen,Heritage Bakes
2023-08-04,Night,Referral,355.49,119.89,5,Returning,Tina Solomon,Heritage Bakes
